2024-06-13 17:11:59 root INFO     loading model + tokenizer
2024-06-13 17:12:16 root INFO     model + tokenizer loaded
2024-06-13 17:12:16 __main__ INFO     starting test: <class 'lre.operators.JacobianIclMeanEstimator'> on Relation(name='noun - plural_reg', prompt_templates=['The plural form of {} is', 'In the plural, {} is', '{} in its plural form is'], prompt_templates_zs=['The plural form of {} is', 'In the plural, {} is', '{} in its plural form is'], samples=[RelationSample(subject='album', object=['albums']), RelationSample(subject='application', object=['applications']), RelationSample(subject='area', object=['areas']), RelationSample(subject='car', object=['cars']), RelationSample(subject='college', object=['colleges']), RelationSample(subject='council', object=['councils']), RelationSample(subject='customer', object=['customers']), RelationSample(subject='day', object=['days']), RelationSample(subject='death', object=['deaths']), RelationSample(subject='department', object=['departments']), RelationSample(subject='development', object=['developments']), RelationSample(subject='difference', object=['differences']), RelationSample(subject='director', object=['directors']), RelationSample(subject='event', object=['events']), RelationSample(subject='example', object=['examples']), RelationSample(subject='fact', object=['facts']), RelationSample(subject='friend', object=['friends']), RelationSample(subject='god', object=['gods']), RelationSample(subject='government', object=['governments']), RelationSample(subject='hour', object=['hours']), RelationSample(subject='idea', object=['ideas']), RelationSample(subject='language', object=['languages']), RelationSample(subject='law', object=['laws']), RelationSample(subject='member', object=['members']), RelationSample(subject='month', object=['months']), RelationSample(subject='night', object=['nights']), RelationSample(subject='office', object=['offices']), RelationSample(subject='period', object=['periods']), RelationSample(subject='player', object=['players']), RelationSample(subject='population', object=['populations']), RelationSample(subject='problem', object=['problems']), RelationSample(subject='product', object=['products']), RelationSample(subject='resource', object=['resources']), RelationSample(subject='river', object=['rivers']), RelationSample(subject='road', object=['roads']), RelationSample(subject='role', object=['roles']), RelationSample(subject='science', object=['sciences']), RelationSample(subject='solution', object=['solutions']), RelationSample(subject='song', object=['songs']), RelationSample(subject='street', object=['streets']), RelationSample(subject='student', object=['students']), RelationSample(subject='system', object=['systems']), RelationSample(subject='thing', object=['things']), RelationSample(subject='town', object=['towns']), RelationSample(subject='user', object=['users']), RelationSample(subject='version', object=['versions']), RelationSample(subject='village', object=['villages']), RelationSample(subject='website', object=['websites']), RelationSample(subject='week', object=['weeks']), RelationSample(subject='year', object=['years'])], _domain=None, _range=None)
2024-06-13 17:12:19 root INFO     starting operator prediction
2024-06-13 17:12:19 root INFO     using no context
2024-06-13 17:12:19 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:16:15 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:16:15 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:16:16 lre.operators INFO     [Jacobian] FINISHED order_1_approx 1/8
2024-06-13 17:16:16 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:20:12 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:20:12 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:20:13 lre.operators INFO     [Jacobian] FINISHED order_1_approx 2/8
2024-06-13 17:20:13 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:24:10 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:24:10 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:24:11 lre.operators INFO     [Jacobian] FINISHED order_1_approx 3/8
2024-06-13 17:24:11 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:28:07 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:28:07 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:28:08 lre.operators INFO     [Jacobian] FINISHED order_1_approx 4/8
2024-06-13 17:28:08 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:32:03 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:32:03 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:32:04 lre.operators INFO     [Jacobian] FINISHED order_1_approx 5/8
2024-06-13 17:32:04 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:35:59 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:35:59 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:36:00 lre.operators INFO     [Jacobian] FINISHED order_1_approx 6/8
2024-06-13 17:36:00 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:39:56 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:39:56 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:39:56 lre.operators INFO     [Jacobian] FINISHED order_1_approx 7/8
2024-06-13 17:39:57 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:43:53 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:43:53 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:43:54 lre.operators INFO     [Jacobian] FINISHED order_1_approx 8/8
2024-06-13 17:43:54 root INFO     total operator prediction time: 1894.8993155956268 seconds
2024-06-13 17:43:56 root INFO     ['DA', 'dl', ' gal', ' del', ' al'] matches ['albums'] is True
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'DL', 'dl', 'AF'] matches ['applications'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['areas'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', ' gal'] matches ['cars'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'dl', 'GD', 'DL', ' gal'] matches ['colleges'] is False
2024-06-13 17:43:56 root INFO     [' ', ' (', '\n', ' [', ' and'] matches ['councils'] is False
2024-06-13 17:43:56 root INFO     [' ', '\n', ' (', ' customers', ' and'] matches ['customers'] is True
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['days'] is True
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['deaths'] is False
2024-06-13 17:43:56 root INFO     [' ', ' departments', '\n', ' (', ' and'] matches ['departments'] is True
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['developments'] is False
2024-06-13 17:43:56 root INFO     [' ', ' (', '\n', ' [', ' and'] matches ['differences'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['directors'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['events'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['examples'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'AF', 'GD', 'DL', 'dl'] matches ['facts'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'AF', 'DL'] matches ['friends'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', ' gal', 'DL'] matches ['gods'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['governments'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['hours'] is False
2024-06-13 17:43:56 root INFO     [' ', ' (', '\n', ' [', ' and'] matches ['ideas'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['languages'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'dl', 'DL', 'GD', 'AF'] matches ['laws'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'dl', 'GD', 'DL', 'MC'] matches ['members'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'dl', 'GD', 'DL', 'MC'] matches ['months'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['nights'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'dl', 'GD', 'DL', 'AF'] matches ['offices'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['periods'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'dl', 'DL', 'GD', 'AF'] matches ['players'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['populations'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['problems'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['products'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['resources'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['rivers'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['roads'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'dl', 'DL', 'GD', ' gal'] matches ['roles'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'DL', 'dl', 'AF'] matches ['sciences'] is False
2024-06-13 17:43:56 root INFO     [' ', '\n', ' (', ' solutions', ' and'] matches ['solutions'] is True
2024-06-13 17:43:56 root INFO     ['DA', 'dl', 'GD', 'DL', ' gal'] matches ['songs'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['streets'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['students'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'DL', 'dl', 'AF'] matches ['systems'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['things'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['towns'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'DL', 'dl', 'AF'] matches ['users'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['versions'] is False
