['DA', 'dl', ' gal', ' del', ' al'] matches ['albums'] is True
['DA', 'GD', 'DL', 'dl', 'AF'] matches ['applications'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['areas'] is False
['DA', 'GD', 'dl', 'DL', ' gal'] matches ['cars'] is False
['DA', 'dl', 'GD', 'DL', ' gal'] matches ['colleges'] is False
[' ', ' (', '\n', ' [', ' and'] matches ['councils'] is False
[' ', '\n', ' (', ' customers', ' and'] matches ['customers'] is True
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['days'] is True
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['deaths'] is False
[' ', ' departments', '\n', ' (', ' and'] matches ['departments'] is True
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['developments'] is False
[' ', ' (', '\n', ' [', ' and'] matches ['differences'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['directors'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['events'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['examples'] is False
['DA', 'AF', 'GD', 'DL', 'dl'] matches ['facts'] is False
['DA', 'GD', 'dl', 'AF', 'DL'] matches ['friends'] is False
['DA', 'GD', 'dl', ' gal', 'DL'] matches ['gods'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['governments'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['hours'] is False
[' ', ' (', '\n', ' [', ' and'] matches ['ideas'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['languages'] is False
['DA', 'dl', 'DL', 'GD', 'AF'] matches ['laws'] is False
['DA', 'dl', 'GD', 'DL', 'MC'] matches ['members'] is False
['DA', 'dl', 'GD', 'DL', 'MC'] matches ['months'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['nights'] is False
['DA', 'dl', 'GD', 'DL', 'AF'] matches ['offices'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['periods'] is False
['DA', 'dl', 'DL', 'GD', 'AF'] matches ['players'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['populations'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['problems'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['products'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['resources'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['rivers'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['roads'] is False
['DA', 'dl', 'DL', 'GD', ' gal'] matches ['roles'] is False
['DA', 'GD', 'DL', 'dl', 'AF'] matches ['sciences'] is False
[' ', '\n', ' (', ' solutions', ' and'] matches ['solutions'] is True
['DA', 'dl', 'GD', 'DL', ' gal'] matches ['songs'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['streets'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['students'] is False
['DA', 'GD', 'DL', 'dl', 'AF'] matches ['systems'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['things'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['towns'] is False
['DA', 'GD', 'DL', 'dl', 'AF'] matches ['users'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['versions'] is False
[' ', ' (', ' cities', '\n', ' ['] matches ['villages'] is False
[' ', ' websites', ' (', '\n', ' and'] matches ['websites'] is True
['DA', 'GD', 'dl', 'DL', ' gal'] matches ['weeks'] is False
['DA', 'GD', 'dl', 'DL', 'AF'] matches ['years'] is False
noun - plural_reg,50,6,44
[' ob', '-', ' int', '--', 'Int'] matches ['accepted'] is False
[' ', ' has', ' achieved', ' performed', ' was'] matches ['achieved'] is True
[' ob', '-', ' int', '--', 'Int'] matches ['added'] is False
[' ob', '-', ' int', '--', ' inter'] matches ['agreed'] is False
[' ob', '-', ' int', '--', 'Int'] matches ['allowed'] is False
[' ', ' announced', ' made', ' has', ' will'] matches ['announced'] is True
[' ', ' appeared', ' has', ' occurred', ' will'] matches ['appeared'] is True
[' ob', '-', ' int', '--', 'Int'] matches ['applied'] is False
[' ob', '-', ' int', 'Int', '--'] matches ['asked'] is False
[' ', ' attended', ' has', ' is', ' received'] matches ['attended'] is True
[' ', ' became', ' has', ' performed', ' was'] matches ['became'] is True
[' ', ' believed', ' has', ' is', ' will'] matches ['believed'] is True
[' ob', '-', ' int', '--', 'Int'] matches ['considered'] is False
[' ob', '-', ' int', '--', 'Int'] matches ['continued'] is False
[' ob', '-', ' int', '--', ' inter'] matches ['created'] is False
[' ', ' decided', ' involved', ' considered', ' has'] matches ['decided'] is True
[' ', ' described', ' related', ' referred', ' is'] matches ['described'] is True
[' ob', '-', ' int', '--', 'Int'] matches ['developed'] is False
[' ', ' discovered', ' received', ' found', ' considered'] matches ['discovered'] is True
[' ', ' received', ' has', ' will', ' involved'] matches ['enjoyed'] is False
[' ', ' has', ' is', ' was', ' will'] matches ['ensured'] is False
[' ob', '-', ' int', '--', ' inter'] matches ['established'] is False
[' ', ' is', ' has', ' expected', ' will'] matches ['expected'] is True
[' ob', '-', ' int', '--', 'Int'] matches ['followed'] is False
[' ', ' has', ' received', ' was', ' will'] matches ['heard'] is False
[' ', ' is', ' has', ' involved', ' was'] matches ['identified'] is False
[' ob', '-', ' int', '--', ' inter'] matches ['improved'] is False
[' ob', '-', ' int', '--', 'Int'] matches ['included'] is False
[' introduced', ' ', ' received', ' involved', ' brought'] matches ['introduced'] is True
[' ', ' involved', ' has', ' was', ' is'] matches ['involved'] is True
[' ', ' is', ' has', ' was', ' will'] matches ['located'] is False
[' ', '\n', ' has', ' will', ' is'] matches ['lost'] is False
[' ', ' involved', ' was', ' received', ' is'] matches ['managed'] is False
[' ', ' will', ' has', ' was', ' related'] matches ['married'] is False
[' performed', ' ', ' was', ' has', ' is'] matches ['performed'] is True
[' ', ' provided', ' involved', ' performed', ' received'] matches ['provided'] is True
[' ', ' published', ' performed', ' has', ' reported'] matches ['published'] is True
[' received', ' ', ' has', ' receives', ' involved'] matches ['received'] is True
[' ', ' involved', ' has', ' received', ' used'] matches ['reduced'] is False
[' ', ' referred', ' received', ' related', ' referenced'] matches ['referred'] is True
[' related', ' ', ' involved', ' has', ' relates'] matches ['related'] is True
[' ', ' has', ' will', ' is', ' was'] matches ['remained'] is False
[' ob', '-', ' int', '--', ' inter'] matches ['replaced'] is False
[' ob', '-', ' int', '--', 'Int'] matches ['required'] is False
