2024-08-01 14:47:27 __main__ INFO     name - nationality,7,11,18,7,19,2,19,0,0
2024-08-01 14:47:27 llra.build INFO     3_27_approx/animal - youth/insect/s_o_weight_3_27.pt does not exist, skipping
2024-08-01 14:47:28 llra.build INFO     3_27_approx/animal - youth/insect/s_o_bias_3_27.pt does not exist, skipping
2024-08-01 14:48:51 __main__ INFO     animal - youth,7,19,32,15,28,6,31,0,0
2024-08-01 14:50:21 __main__ INFO     verb_Ving - 3pSg,7,37,42,15,42,0,0,0,0
2024-08-01 14:51:48 __main__ INFO     noun+less_reg,7,41,42,39,41,0,0,0,0
2024-08-01 14:53:15 __main__ INFO     verb+able_reg,7,37,40,32,39,0,0,0,0
2024-08-01 14:54:27 __main__ INFO     UK_city - county,7,7,12,6,10,0,0,0,0
2024-08-01 14:55:46 __main__ INFO     antonyms - binary,7,29,37,30,36,0,0,0,0
2024-08-01 14:57:06 __main__ INFO     verb_inf - 3pSg,7,42,42,41,42,0,0,0,0
2024-08-01 14:58:17 __main__ INFO     re+verb_reg,7,39,39,19,32,33,33,0,0
2024-08-01 14:59:38 __main__ INFO     verb_inf - Ved,7,40,41,35,41,0,0,0,0
2024-08-01 15:01:08 __main__ INFO     country - language,7,22,34,5,35,8,32,0,0
2024-08-01 15:02:34 __main__ INFO     meronyms - part,7,14,28,12,22,5,22,0,0
2024-08-01 15:04:01 __main__ INFO     verb_Ving - Ved,7,40,41,16,41,0,0,0,0
2024-08-01 15:05:23 __main__ INFO     animal - shelter,7,14,27,6,27,8,23,0,0
2024-08-01 15:06:49 __main__ INFO     hypernyms - misc,7,20,29,12,29,5,26,0,0
2024-08-01 15:08:10 __main__ INFO     meronyms - substance,7,21,36,11,36,4,36,0,0
2024-08-01 15:09:30 __main__ INFO     noun - plural_irreg,7,40,42,41,42,0,0,0,0
2024-08-01 15:10:50 __main__ INFO     un+adj_reg,7,38,40,33,41,1,40,0,0
2024-08-01 15:12:07 __main__ INFO     verb+ment_irreg,7,42,42,40,41,1,41,0,0
2024-08-01 15:13:17 __main__ INFO     adj+ness_reg,7,37,37,35,37,1,37,0,0
2024-08-01 15:14:32 __main__ INFO     over+adj_reg,7,34,42,2,42,40,41,0,0
2024-08-01 15:16:05 __main__ INFO     verb+er_irreg,7,31,39,34,39,1,40,0,0
2024-08-01 15:17:23 __main__ INFO     adj+ly_reg,7,38,41,36,42,0,0,0,0
2024-08-01 15:18:48 __main__ INFO     name - occupation,7,26,35,15,34,5,35,0,0
2024-08-01 15:19:48 __main__ INFO     synonyms - intensity,7,5,17,4,17,0,0,0,0
