2024-08-01 14:49:08 __main__ INFO     name - nationality,7,10,21,8,21,3,19,0,0
2024-08-01 14:49:08 llra.build INFO     3_27_approx/animal - youth/insect/s_o_weight_3_27.pt does not exist, skipping
2024-08-01 14:49:08 llra.build INFO     3_27_approx/animal - youth/insect/s_o_bias_3_27.pt does not exist, skipping
2024-08-01 14:49:52 __main__ INFO     animal - youth,7,16,28,14,28,7,28,0,0
2024-08-01 14:50:38 __main__ INFO     verb_Ving - 3pSg,7,38,42,14,42,0,0,0,0
2024-08-01 14:51:47 __main__ INFO     noun+less_reg,7,40,41,39,40,0,0,0,0
2024-08-01 14:53:16 __main__ INFO     verb+able_reg,7,36,40,32,40,0,0,0,0
2024-08-01 14:54:29 __main__ INFO     UK_city - county,7,8,12,6,11,0,0,0,0
2024-08-01 14:55:46 __main__ INFO     antonyms - binary,7,26,36,29,36,0,0,0,0
2024-08-01 14:57:06 __main__ INFO     verb_inf - 3pSg,7,42,42,41,42,0,0,0,0
2024-08-01 14:58:18 __main__ INFO     re+verb_reg,7,36,38,17,35,32,33,0,0
2024-08-01 14:59:40 __main__ INFO     verb_inf - Ved,7,40,41,36,41,0,0,0,0
2024-08-01 15:01:10 __main__ INFO     country - language,7,22,34,6,34,8,34,0,0
2024-08-01 15:02:35 __main__ INFO     meronyms - part,7,14,27,13,26,6,26,0,0
2024-08-01 15:04:02 __main__ INFO     verb_Ving - Ved,7,41,41,16,41,0,0,0,0
2024-08-01 15:05:23 __main__ INFO     animal - shelter,7,14,24,7,23,6,25,0,0
2024-08-01 15:06:50 __main__ INFO     hypernyms - misc,7,18,27,13,27,5,27,0,0
2024-08-01 15:08:10 __main__ INFO     meronyms - substance,7,21,32,10,32,4,35,0,0
2024-08-01 15:09:30 __main__ INFO     noun - plural_irreg,7,41,42,41,42,0,0,0,0
2024-08-01 15:10:51 __main__ INFO     un+adj_reg,7,38,41,35,42,1,41,0,0
2024-08-01 15:12:07 __main__ INFO     verb+ment_irreg,7,41,41,40,41,2,42,0,0
2024-08-01 15:13:18 __main__ INFO     adj+ness_reg,7,37,37,36,37,1,35,0,0
2024-08-01 15:14:33 __main__ INFO     over+adj_reg,7,34,42,3,42,42,42,0,0
2024-08-01 15:16:06 __main__ INFO     verb+er_irreg,7,30,38,31,40,0,0,0,0
2024-08-01 15:17:23 __main__ INFO     adj+ly_reg,7,38,42,36,41,0,0,0,0
2024-08-01 15:18:49 __main__ INFO     name - occupation,7,26,36,16,33,4,34,0,0
2024-08-01 15:19:48 __main__ INFO     synonyms - intensity,7,7,17,5,17,1,19,0,0
2024-08-01 15:20:49 __main__ INFO     animal - sound,7,19,26,15,25,3,25,0,0
2024-08-01 15:21:58 __main__ INFO     noun - plural_reg,7,42,42,42,42,0,0,0,0
2024-08-01 15:23:09 __main__ INFO     Ving - verb_inf,7,39,42,26,42,0,0,0,0
2024-08-01 15:24:12 __main__ INFO     male - female,7,10,26,11,25,0,0,0,0
2024-08-01 15:25:22 __main__ INFO     verb_3pSg - Ved,7,42,42,37,42,0,0,0,0
2024-08-01 15:26:26 __main__ INFO     meronyms - member,7,18,30,11,30,5,25,0,0
2024-08-01 15:27:27 __main__ INFO     things - color,7,23,32,8,31,21,33,0,0
2024-08-01 15:28:28 __main__ INFO     hyponyms - misc,7,9,29,6,26,2,26,0,0
2024-08-01 15:29:33 __main__ INFO     adj - superlative,7,32,36,31,38,0,0,0,0
2024-08-01 15:30:40 __main__ INFO     verb+tion_irreg,7,40,41,37,42,0,0,0,0
2024-08-01 15:31:40 __main__ INFO     synonyms - exact,7,4,17,4,22,0,0,0,0
2024-08-01 15:32:47 __main__ INFO     hypernyms - animals,7,31,37,19,37,10,34,0,0
2024-08-01 15:33:44 llra.build INFO     8_27_approx/country - capital/ottawa/s_o_weight_8_27.pt does not exist, skipping
2024-08-01 15:33:45 llra.build INFO     8_27_approx/country - capital/ottawa/s_o_bias_8_27.pt does not exist, skipping
2024-08-01 15:34:17 __main__ INFO     country - capital,7,20,27,19,29,0,0,0,0
2024-08-01 15:35:02 __main__ INFO     name - nationality,7,11,20,6,19,2,20,0,0
2024-08-01 15:35:02 llra.build INFO     3_27_approx/animal - youth/insect/s_o_weight_3_27.pt does not exist, skipping
2024-08-01 15:35:02 llra.build INFO     3_27_approx/animal - youth/insect/s_o_bias_3_27.pt does not exist, skipping
2024-08-01 15:35:41 __main__ INFO     animal - youth,7,19,29,16,28,6,28,0,0
2024-08-01 15:36:28 __main__ INFO     verb_Ving - 3pSg,7,38,42,15,42,0,0,0,0
2024-08-01 15:37:17 __main__ INFO     noun+less_reg,7,41,42,40,42,0,0,0,0
2024-08-01 15:38:13 __main__ INFO     verb+able_reg,7,35,40,29,41,0,0,0,0
2024-08-01 15:38:59 __main__ INFO     UK_city - county,7,8,13,5,13,0,0,0,0
2024-08-01 15:39:57 __main__ INFO     antonyms - binary,7,27,36,29,36,0,0,0,0
2024-08-01 15:41:24 __main__ INFO     verb_inf - 3pSg,7,42,42,41,42,0,0,0,0
2024-08-01 15:42:38 __main__ INFO     re+verb_reg,7,34,36,18,36,34,35,0,0
2024-08-01 15:44:13 __main__ INFO     verb_inf - Ved,7,40,41,35,42,0,0,0,0
2024-08-01 15:45:44 __main__ INFO     country - language,7,22,34,9,32,8,31,0,0
2024-08-01 15:47:09 __main__ INFO     meronyms - part,7,14,23,12,23,3,23,0,0
2024-08-01 15:48:25 __main__ INFO     verb_Ving - Ved,7,40,41,15,41,0,0,0,0
2024-08-01 15:49:32 __main__ INFO     animal - shelter,7,14,27,4,22,9,29,0,0
2024-08-01 15:50:36 __main__ INFO     hypernyms - misc,7,19,26,11,23,5,27,0,0
2024-08-01 15:51:33 __main__ INFO     meronyms - substance,7,20,32,11,35,3,35,0,0
2024-08-01 15:52:34 __main__ INFO     noun - plural_irreg,7,42,42,41,42,0,0,0,0
2024-08-01 15:53:37 __main__ INFO     un+adj_reg,7,41,42,32,42,3,42,0,0
