2024-07-12 15:57:11 __main__ INFO     using beta=1, iter=0
2024-07-12 15:57:16 __main__ INFO     name - nationality,beta,1,LRE,12,Jacobian,5,lm,24
2024-07-12 15:57:22 __main__ INFO     animal - youth,beta,1,LRE,18,Jacobian,18,lm,33
2024-07-12 15:57:27 __main__ INFO     verb_Ving - 3pSg,beta,1,LRE,11,Jacobian,33,lm,50
2024-07-12 15:57:34 __main__ INFO     noun+less_reg,beta,1,LRE,0,Jacobian,3,lm,48
2024-07-12 15:57:40 __main__ INFO     verb+able_reg,beta,1,LRE,5,Jacobian,17,lm,48
2024-07-12 15:57:45 __main__ INFO     UK_city - county,beta,1,LRE,0,Jacobian,0,lm,12
2024-07-12 15:57:50 __main__ INFO     antonyms - binary,beta,1,LRE,5,Jacobian,26,lm,42
2024-07-12 15:57:56 __main__ INFO     verb_inf - 3pSg,beta,1,LRE,19,Jacobian,18,lm,50
2024-07-12 15:58:01 __main__ INFO     re+verb_reg,beta,1,LRE,0,Jacobian,4,lm,38
2024-07-12 15:58:08 __main__ INFO     verb_inf - Ved,beta,1,LRE,13,Jacobian,43,lm,49
2024-07-12 15:58:13 __main__ INFO     country - language,beta,1,LRE,12,Jacobian,7,lm,36
2024-07-12 15:58:19 __main__ INFO     meronyms - part,beta,1,LRE,6,Jacobian,13,lm,31
2024-07-12 15:58:26 __main__ INFO     verb_Ving - Ved,beta,1,LRE,14,Jacobian,45,lm,49
2024-07-12 15:58:31 __main__ INFO     animal - shelter,beta,1,LRE,21,Jacobian,12,lm,30
2024-07-12 15:58:37 __main__ INFO     hypernyms - misc,beta,1,LRE,10,Jacobian,22,lm,36
2024-07-12 15:58:42 __main__ INFO     meronyms - substance,beta,1,LRE,1,Jacobian,15,lm,39
2024-07-12 15:58:48 __main__ INFO     noun - plural_irreg,beta,1,LRE,6,Jacobian,44,lm,50
2024-07-12 15:58:54 __main__ INFO     un+adj_reg,beta,1,LRE,4,Jacobian,31,lm,50
2024-07-12 15:59:01 __main__ INFO     verb+ment_irreg,beta,1,LRE,7,Jacobian,39,lm,49
2024-07-12 15:59:07 __main__ INFO     adj+ness_reg,beta,1,LRE,0,Jacobian,10,lm,42
2024-07-12 15:59:13 __main__ INFO     over+adj_reg,beta,1,LRE,0,Jacobian,1,lm,50
2024-07-12 15:59:20 __main__ INFO     verb+er_irreg,beta,1,LRE,2,Jacobian,18,lm,47
2024-07-12 15:59:26 __main__ INFO     adj+ly_reg,beta,1,LRE,7,Jacobian,7,lm,48
2024-07-12 15:59:32 __main__ INFO     name - occupation,beta,1,LRE,27,Jacobian,28,lm,39
2024-07-12 15:59:36 __main__ INFO     synonyms - intensity,beta,1,LRE,0,Jacobian,7,lm,23
2024-07-12 15:59:41 __main__ INFO     animal - sound,beta,1,LRE,8,Jacobian,11,lm,33
2024-07-12 15:59:47 __main__ INFO     noun - plural_reg,beta,1,LRE,1,Jacobian,50,lm,50
2024-07-12 15:59:54 __main__ INFO     Ving - verb_inf,beta,1,LRE,5,Jacobian,11,lm,49
2024-07-12 16:00:00 __main__ INFO     male - female,beta,1,LRE,2,Jacobian,5,lm,32
2024-07-12 16:00:06 __main__ INFO     verb_3pSg - Ved,beta,1,LRE,4,Jacobian,47,lm,49
2024-07-12 16:00:12 __main__ INFO     meronyms - member,beta,1,LRE,11,Jacobian,16,lm,29
2024-07-12 16:00:19 __main__ INFO     hyponyms - misc,beta,1,LRE,0,Jacobian,5,lm,24
2024-07-12 16:00:25 __main__ INFO     adj - superlative,beta,1,LRE,0,Jacobian,2,lm,44
2024-07-12 16:00:34 __main__ INFO     verb+tion_irreg,beta,1,LRE,3,Jacobian,17,lm,48
2024-07-12 16:00:40 __main__ INFO     synonyms - exact,beta,1,LRE,0,Jacobian,3,lm,19
2024-07-12 16:00:48 __main__ INFO     hypernyms - animals,beta,1,LRE,38,Jacobian,31,lm,40
2024-07-12 16:00:53 __main__ INFO     country - capital,beta,1,LRE,0,Jacobian,0,lm,36
2024-07-12 16:00:53 __main__ INFO     using beta=1, iter=1
2024-07-12 16:00:57 __main__ INFO     name - nationality,beta,1,LRE,12,Jacobian,5,lm,22
2024-07-12 16:01:01 __main__ INFO     animal - youth,beta,1,LRE,18,Jacobian,17,lm,32
2024-07-12 16:01:06 __main__ INFO     verb_Ving - 3pSg,beta,1,LRE,12,Jacobian,35,lm,50
2024-07-12 16:01:11 __main__ INFO     noun+less_reg,beta,1,LRE,0,Jacobian,2,lm,49
2024-07-12 16:01:17 __main__ INFO     verb+able_reg,beta,1,LRE,3,Jacobian,19,lm,48
2024-07-12 16:01:22 __main__ INFO     UK_city - county,beta,1,LRE,0,Jacobian,0,lm,13
2024-07-12 16:01:28 __main__ INFO     antonyms - binary,beta,1,LRE,7,Jacobian,24,lm,42
2024-07-12 16:01:33 __main__ INFO     verb_inf - 3pSg,beta,1,LRE,6,Jacobian,9,lm,50
2024-07-12 16:01:38 __main__ INFO     re+verb_reg,beta,1,LRE,0,Jacobian,6,lm,42
2024-07-12 16:01:44 __main__ INFO     verb_inf - Ved,beta,1,LRE,4,Jacobian,32,lm,49
2024-07-12 16:01:49 __main__ INFO     country - language,beta,1,LRE,14,Jacobian,13,lm,40
2024-07-12 16:01:54 __main__ INFO     meronyms - part,beta,1,LRE,3,Jacobian,12,lm,30
2024-07-12 16:01:59 __main__ INFO     verb_Ving - Ved,beta,1,LRE,19,Jacobian,43,lm,49
2024-07-12 16:02:03 __main__ INFO     animal - shelter,beta,1,LRE,19,Jacobian,11,lm,30
2024-07-12 16:02:08 __main__ INFO     hypernyms - misc,beta,1,LRE,18,Jacobian,18,lm,30
2024-07-12 16:02:16 __main__ INFO     meronyms - substance,beta,1,LRE,1,Jacobian,12,lm,40
2024-07-12 16:02:22 __main__ INFO     noun - plural_irreg,beta,1,LRE,7,Jacobian,43,lm,49
2024-07-12 16:02:28 __main__ INFO     un+adj_reg,beta,1,LRE,2,Jacobian,30,lm,50
2024-07-12 16:02:34 __main__ INFO     verb+ment_irreg,beta,1,LRE,12,Jacobian,41,lm,49
2024-07-12 16:02:38 __main__ INFO     adj+ness_reg,beta,1,LRE,1,Jacobian,10,lm,42
2024-07-12 16:02:44 __main__ INFO     over+adj_reg,beta,1,LRE,1,Jacobian,0,lm,50
2024-07-12 16:02:50 __main__ INFO     verb+er_irreg,beta,1,LRE,2,Jacobian,17,lm,47
2024-07-12 16:02:55 __main__ INFO     adj+ly_reg,beta,1,LRE,8,Jacobian,7,lm,49
2024-07-12 16:03:00 __main__ INFO     name - occupation,beta,1,LRE,24,Jacobian,23,lm,41
2024-07-12 16:03:03 __main__ INFO     synonyms - intensity,beta,1,LRE,0,Jacobian,5,lm,18
2024-07-12 16:03:08 __main__ INFO     animal - sound,beta,1,LRE,6,Jacobian,9,lm,31
2024-07-12 16:03:14 __main__ INFO     noun - plural_reg,beta,1,LRE,2,Jacobian,47,lm,50
2024-07-12 16:03:20 __main__ INFO     Ving - verb_inf,beta,1,LRE,5,Jacobian,18,lm,50
2024-07-12 16:03:25 __main__ INFO     male - female,beta,1,LRE,3,Jacobian,5,lm,34
2024-07-12 16:03:31 __main__ INFO     verb_3pSg - Ved,beta,1,LRE,12,Jacobian,48,lm,49
2024-07-12 16:03:35 __main__ INFO     meronyms - member,beta,1,LRE,10,Jacobian,12,lm,28
2024-07-12 16:03:39 __main__ INFO     hyponyms - misc,beta,1,LRE,0,Jacobian,5,lm,27
2024-07-12 16:03:45 __main__ INFO     adj - superlative,beta,1,LRE,0,Jacobian,1,lm,44
2024-07-12 16:03:50 __main__ INFO     verb+tion_irreg,beta,1,LRE,1,Jacobian,13,lm,49
2024-07-12 16:03:54 __main__ INFO     synonyms - exact,beta,1,LRE,0,Jacobian,1,lm,21
2024-07-12 16:03:59 __main__ INFO     hypernyms - animals,beta,1,LRE,42,Jacobian,43,lm,45
