2024-07-10 16:24:10 __main__ INFO     using beta=1, iter=0
2024-07-10 16:24:14 __main__ INFO     name - nationality,beta,1,LRE,4,Jacobian,4,lm,24
2024-07-10 16:24:18 __main__ INFO     animal - youth,beta,1,LRE,4,Jacobian,18,lm,32
2024-07-10 16:24:23 __main__ INFO     verb_Ving - 3pSg,beta,1,LRE,0,Jacobian,1,lm,50
2024-07-10 16:24:28 __main__ INFO     noun+less_reg,beta,1,LRE,1,Jacobian,45,lm,48
2024-07-10 16:24:33 __main__ INFO     verb+able_reg,beta,1,LRE,2,Jacobian,37,lm,47
2024-07-10 16:24:37 __main__ INFO     UK_city - county,beta,1,LRE,2,Jacobian,1,lm,13
2024-07-10 16:24:42 __main__ INFO     antonyms - binary,beta,1,LRE,4,Jacobian,27,lm,42
2024-07-10 16:24:47 __main__ INFO     verb_inf - 3pSg,beta,1,LRE,0,Jacobian,47,lm,50
2024-07-10 16:24:52 __main__ INFO     re+verb_reg,beta,1,LRE,44,Jacobian,10,lm,44
2024-07-10 16:24:57 __main__ INFO     verb_inf - Ved,beta,1,LRE,9,Jacobian,41,lm,49
2024-07-10 16:25:02 __main__ INFO     country - language,beta,1,LRE,10,Jacobian,12,lm,38
2024-07-10 16:25:06 __main__ INFO     meronyms - part,beta,1,LRE,3,Jacobian,8,lm,33
2024-07-10 16:25:11 __main__ INFO     verb_Ving - Ved,beta,1,LRE,0,Jacobian,7,lm,49
2024-07-10 16:25:15 __main__ INFO     animal - shelter,beta,1,LRE,9,Jacobian,3,lm,29
2024-07-10 16:25:19 __main__ INFO     hypernyms - misc,beta,1,LRE,5,Jacobian,9,lm,29
2024-07-10 16:25:23 __main__ INFO     meronyms - substance,beta,1,LRE,0,Jacobian,8,lm,37
2024-07-10 16:25:29 __main__ INFO     noun - plural_irreg,beta,1,LRE,4,Jacobian,44,lm,50
2024-07-10 16:25:34 __main__ INFO     un+adj_reg,beta,1,LRE,49,Jacobian,35,lm,49
2024-07-10 16:25:39 __main__ INFO     verb+ment_irreg,beta,1,LRE,6,Jacobian,43,lm,50
2024-07-10 16:25:43 __main__ INFO     adj+ness_reg,beta,1,LRE,0,Jacobian,36,lm,41
2024-07-10 16:25:49 __main__ INFO     over+adj_reg,beta,1,LRE,50,Jacobian,0,lm,50
2024-07-10 16:25:54 __main__ INFO     verb+er_irreg,beta,1,LRE,3,Jacobian,17,lm,47
2024-07-10 16:25:59 __main__ INFO     adj+ly_reg,beta,1,LRE,4,Jacobian,38,lm,49
2024-07-10 16:26:04 __main__ INFO     name - occupation,beta,1,LRE,15,Jacobian,13,lm,42
2024-07-10 16:26:07 __main__ INFO     synonyms - intensity,beta,1,LRE,0,Jacobian,3,lm,24
2024-07-10 16:26:11 __main__ INFO     animal - sound,beta,1,LRE,7,Jacobian,18,lm,28
2024-07-10 16:26:16 __main__ INFO     noun - plural_reg,beta,1,LRE,0,Jacobian,49,lm,50
2024-07-10 16:26:22 __main__ INFO     Ving - verb_inf,beta,1,LRE,0,Jacobian,4,lm,50
2024-07-10 16:26:26 __main__ INFO     male - female,beta,1,LRE,1,Jacobian,9,lm,36
2024-07-10 16:26:31 __main__ INFO     verb_3pSg - Ved,beta,1,LRE,0,Jacobian,46,lm,49
2024-07-10 16:26:35 __main__ INFO     meronyms - member,beta,1,LRE,5,Jacobian,4,lm,28
2024-07-10 16:26:39 __main__ INFO     hyponyms - misc,beta,1,LRE,0,Jacobian,4,lm,28
2024-07-10 16:26:44 __main__ INFO     adj - superlative,beta,1,LRE,0,Jacobian,27,lm,44
2024-07-10 16:26:49 __main__ INFO     verb+tion_irreg,beta,1,LRE,0,Jacobian,17,lm,49
2024-07-10 16:26:53 __main__ INFO     synonyms - exact,beta,1,LRE,0,Jacobian,2,lm,22
